,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420,19880425,19871231,20081107,20031107,20101122,19991229,20111213,20161014,20100525,19890802,20070421,19820512,19920527,20140428,20050529,19830717,20011002,19930515,19960902,19880527
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
128750-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
128750-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
128750-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
128750-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
12-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
12-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
12-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
128-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
128-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
128-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
128-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
1287-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
1287-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
1287-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
1287-4,"['19970917', 463565]","['20120811', 417876]","['20121204', 369165]","['19811201', 538441]","['19910501', 343162]","['19860802', 240513]","['19910210', 395780]","['19811001', 258754]","['19900210', 232273]","['19950420', 378448]","['19900423', 237035]","['19811229', 240512]","['19901107', 312719]","['19901107', 328767]","['19811119', 436452]","['20000101', 49080]","['20121212', 458850]","['20091007', 500107]","['19900526', 385392]","['19900801', 286859]","['19900423', 322847]","['19860511', 224060]","['19900525', 425106]","['19900426', 331293]","['19900602', 401196]","['19970710', 387795]","['19901003', 407678]","['19900512', 368171]","['19910902', 382572]","['19900525', 286728]"
